report_code,report_title,zone_name,fight_id,fight_name,difficulty,kill,fight_percentage,boss_percentage,last_phase,duration_seconds,start_time_utc,end_time_utc,start_time_epoch_ms
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,27,Dancing Mad,100,False,91.55,15.52,1,206.2,2026-06-05T19:42:36.955000+00:00,2026-06-05T19:46:03.119000+00:00,1780688556955
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,28,Dancing Mad,100,False,91.37,13.79,1,205.8,2026-06-05T19:46:26.672000+00:00,2026-06-05T19:49:52.437000+00:00,1780688786672
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,29,Dancing Mad,100,False,95.34,53.42,1,107.6,2026-06-05T19:57:27.961000+00:00,2026-06-05T19:59:15.604000+00:00,1780689447961
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,30,Dancing Mad,100,False,92.16,21.69,1,195.3,2026-06-05T19:59:58.072000+00:00,2026-06-05T20:03:13.340000+00:00,1780689598072
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,31,Dancing Mad,100,False,97.34,73.45,1,64.1,2026-06-05T20:03:31.857000+00:00,2026-06-05T20:04:35.945000+00:00,1780689811857
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,32,Dancing Mad,100,False,91.53,15.33,1,199.1,2026-06-05T20:04:54.667000+00:00,2026-06-05T20:08:13.787000+00:00,1780689894667
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,33,Dancing Mad,100,False,91.66,16.65,1,208.3,2026-06-05T20:08:59.893000+00:00,2026-06-05T20:12:28.240000+00:00,1780690139893
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,34,Dancing Mad,100,False,91.69,16.99,1,195.6,2026-06-05T20:13:38.011000+00:00,2026-06-05T20:16:53.604000+00:00,1780690418011
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,35,Dancing Mad,100,False,93.85,38.52,1,145.7,2026-06-05T20:17:37.888000+00:00,2026-06-05T20:20:03.550000+00:00,1780690657888
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,36,Dancing Mad,100,False,83.72,68.64,2,286.1,2026-06-05T20:20:21.956000+00:00,2026-06-05T20:25:08.020000+00:00,1780690821956
